Alpha; Gama; Grade
0,5;0,9;14,0
0,5;0,905;14,0
0,5;0,91;14,0
0,5;0,915;14,0
0,5;0,92;14,0
0,5;0,925;14,0
0,5;0,93;14,0
0,5;0,935;14,0
0,5;0,94;14,0
0,5;0,945;14,0
0,5;0,95;14,0
0,5;0,955;14,0
0,5;0,96;14,0
0,5;0,965;14,0
0,5;0,97;14,0
0,5;0,975;14,0
0,5;0,98;8,4
0,5;0,985;7,0
0,5;0,99;14,0
0,5;0,995;17,0
0,5;1,0;18,2
0,505;0,9;14,0
0,505;0,905;14,0
0,505;0,91;14,0
0,505;0,915;14,0
0,505;0,92;14,0
0,505;0,925;14,0
0,505;0,93;14,0
0,505;0,935;14,0
0,505;0,94;14,0
0,505;0,945;14,0
0,505;0,95;14,0
0,505;0,955;14,0
0,505;0,96;14,0
0,505;0,965;12,6
0,505;0,97;14,0
0,505;0,975;11,2
0,505;0,98;9,8
0,505;0,985;7,0
0,505;0,99;14,0
0,505;0,995;17,0
0,505;1,0;18,2
0,51;0,9;14,0
0,51;0,905;14,0
0,51;0,91;14,0
0,51;0,915;14,0
0,51;0,92;14,0
0,51;0,925;14,0
0,51;0,93;14,0
0,51;0,935;14,0
0,51;0,94;14,0
0,51;0,945;14,0
0,51;0,95;14,0
0,51;0,955;14,0
0,51;0,96;14,0
0,51;0,965;14,0
0,51;0,97;14,0
0,51;0,975;8,4
0,51;0,98;8,4
0,51;0,985;7,0
0,51;0,99;14,0
0,51;0,995;17,0
0,51;1,0;19,4
0,515;0,9;14,0
0,515;0,905;14,0
0,515;0,91;14,0
0,515;0,915;14,0
0,515;0,92;14,0
0,515;0,925;14,0
0,515;0,93;14,0
0,515;0,935;14,0
0,515;0,94;14,0
0,515;0,945;14,0
0,515;0,95;14,0
0,515;0,955;14,0
0,515;0,96;14,0
0,515;0,965;14,0
0,515;0,97;14,0
0,515;0,975;12,6
0,515;0,98;11,2
0,515;0,985;7,0
0,515;0,99;14,0
0,515;0,995;17,0
0,515;1,0;20,0
0,52;0,9;14,0
0,52;0,905;14,0
0,52;0,91;14,0
0,52;0,915;14,0
0,52;0,92;14,0
0,52;0,925;14,0
0,52;0,93;14,0
0,52;0,935;14,0
0,52;0,94;14,0
0,52;0,945;14,0
0,52;0,95;14,0
0,52;0,955;14,0
0,52;0,96;14,0
0,52;0,965;14,0
0,52;0,97;14,0
0,52;0,975;12,6
0,52;0,98;8,4
0,52;0,985;7,0
0,52;0,99;14,0
0,52;0,995;17,0
0,52;1,0;20,0
0,525;0,9;14,0
0,525;0,905;14,0
0,525;0,91;14,0
0,525;0,915;14,0
0,525;0,92;14,0
0,525;0,925;14,0
0,525;0,93;14,0
0,525;0,935;14,0
0,525;0,94;14,0
